Номер заказа,Дата заказа,Товар,Артикул,Код,Тип,Количество,Цена,Скидка %,НДС %,Сумма,Себестоимость товара ед.,Себестоимость товара общая,Доставка на позицию,Комиссия на позицию,ПОЛНАЯ себестоимость,Прибыль,Маржа %,Источник себестоимости
666802491,2025-10-09 13:42:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
663412169,2025-10-06 13:59:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
653479618,2025-09-27 06:47:00.000,Туалетный столик Lux белый с черной столешницой 80x40x75см 2ЯЩ,tsi00025,647461287,product,1.0,120000.0,0.0,0,120000.0,50661.0,50661.0,0.0,18431.0,69092.0,50908.0,42.42,товар
666974377,2025-10-09 16:35:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
661002421,2025-10-04 10:40:00.000,Туалетный столик Гламур белый с подсветкой 120x45x150 см,tsi00003,884847947,product,1.0,79000.0,0.0,0,79000.0,48400.0,48400.0,0.0,9480.0,57880.0,21120.0,26.73,товар
664569341,2025-10-07 14:05:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
664262966,2025-10-07 09:31:00.000,Туалетный столик Lux белый с черной столешницой 80x40x75см 2ЯЩ,tsi00025,647461287,product,1.0,120000.0,0.0,0,120000.0,50661.0,50661.0,0.0,14400.0,65061.0,54939.0,45.78,товар
666803421,2025-10-09 13:42:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
663413116,2025-10-06 14:00:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
653617854,2025-09-27 09:47:00.000,Туалетный столик Гламур белый с подсветкой 120x45x150 см,tsi00003,884847947,product,1.0,79000.0,0.0,0,79000.0,48400.0,48400.0,0.0,9480.0,57880.0,21120.0,26.73,товар
664569399,2025-10-07 14:05:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
663147234,2025-10-06 09:59:00.000,Стеллаж книжный вращающийся коричневый с колесиками 1Я 173x46x46 см,tsi00007,963460237,product,1.0,81000.0,0.0,0,81000.0,49551.0,49551.0,0.0,11623.0,61174.0,19826.0,24.48,товар
666552214,2025-10-09 09:43:00.000,Туалетный столик Грандис белый круглый 120x45x150 см,tsi00004,695409733,product,1.0,69000.0,0.0,0,69000.0,35580.0,35580.0,0.0,8280.0,43860.0,25140.0,36.43,товар
664570098,2025-10-07 14:04:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
653626009,2025-09-27 09:49:00.000,Туалетный столик Lux серый с черной столешницей 80x40x75см 2ЯЩ,tsi00024,805128174,product,1.0,120000.0,0.0,0,120000.0,50661.0,50661.0,0.0,14400.0,65061.0,54939.0,45.78,товар
664570209,2025-10-07 14:05:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
653664755,2025-09-27 10:34:00.000,Туалетный столик Lux серый с черной столешницей 80x40x75см 2ЯЩ,tsi00024,805128174,product,1.0,120000.0,0.0,0,120000.0,50661.0,50661.0,0.0,14400.0,65061.0,54939.0,45.78,товар
666974703,2025-10-09 16:38:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
664570252,2025-10-07 14:05:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
674330541,2025-10-15 19:28:00.000,Туалетный столик Lux серый с черной столешницей 80x40x75см 2ЯЩ,tsi00024,805128174,product,1.0,120000.0,0.0,0,120000.0,50661.0,50661.0,0.0,14400.0,65061.0,54939.0,45.78,товар
673589542,2025-10-15 08:08:00.000,Комплект Туалетный столик Гламур белый без подсветки 120x45x150 см,tsi00002,694752649,bundle,1.0,75000.0,0.0,0,75000.0,47000.0,47000.0,0.0,13031.0,60031.0,14969.0,19.96,основной товар (арт. tsi00002)
668005984,2025-10-10 15:05:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
664571172,2025-10-07 14:04:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
668006974,2025-10-10 15:05:00.000,Туалетный столик Lux серый с черной столешницей 80x40x75см 2ЯЩ,tsi00024,805128174,product,1.0,110000.0,0.0,0,110000.0,50661.0,50661.0,0.0,13200.0,63861.0,46139.0,41.94,товар
653564869,2025-09-27 08:49:00.000,Туалетный столик Lux серый с черной столешницей 80x40x75см 2ЯЩ,tsi00024,805128174,product,1.0,120000.0,0.0,0,120000.0,50661.0,50661.0,0.0,14400.0,65061.0,54939.0,45.78,товар
674332723,2025-10-15 19:29:00.000,"Стол компьютерный  Striker LS black, 120х60x75 см, черный",tsi00148,131433960_246199025,product,1.0,89900.0,0.0,0,89900.0,0.0,0.0,0.0,10788.0,10788.0,79112.0,88.0,не найдена
672641099,2025-10-14 11:47:00.000,Стеллаж напольный вращающийся для книг белый без колесиков 157x46x46см,tsi00021,779463636,product,1.0,61500.0,0.0,0,61500.0,23650.0,23650.0,0.0,11411.0,35061.0,26439.0,42.99,товар
668014011,2025-10-10 15:05:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
667692750,2025-10-10 10:30:00.000,Туалетный столик Lux серый с черной столешницей 80x40x75см 2ЯЩ,tsi00024,805128174,product,1.0,110000.0,0.0,0,110000.0,50661.0,50661.0,0.0,13200.0,63861.0,46139.0,41.94,товар
653723684,2025-09-27 11:31:00.000,Туалетный столик Блик темно-серый со светлыми ящиками 120x45x150 см,tsi00005,488865828,product,1.0,79000.0,0.0,0,79000.0,48500.0,48500.0,0.0,9480.0,57980.0,21020.0,26.61,товар
667462374,2025-10-10 05:59:00.000,"Комплект Раскладушка темно-серый 28x66x178 см (полосатая раскладушка, матрас серый объемный )",tsi00010,741771691,bundle,1.0,35100.0,0.0,0,35100.0,20519.0,20519.0,0.0,5891.0,26410.0,8690.0,24.76,основной товар (арт. tsi00010)
666921850,2025-10-09 15:42:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
649265741,2025-09-23 05:39:00.000,Туалетный столик Гламур белый без подсветки 120x45x150 см,tsi00002,708534133,product,1.0,77000.0,0.0,0,77000.0,47000.0,47000.0,0.0,9240.0,56240.0,20760.0,26.96,товар
