Номер заказа,Выручка,Себестоимость товаров,Доставка,Комиссия МП,ПОЛНАЯ себестоимость,НДС,Чистая прибыль,Рентабельность %,Количество товаров,Себестоимость доступна
666802491,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663412169,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
653479618,120000.0,50661.0,0,18431.0,69092.0,0.0,50908.0,42.42,1,Да
666974377,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
661002421,79000.0,48400.0,0,9480.0,57880.0,0.0,21120.0,26.73,1,Да
664569341,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664262966,120000.0,50661.0,0,14400.0,65061.0,0.0,54939.0,45.78,1,Да
666803421,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663413116,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
653617854,79000.0,48400.0,0,9480.0,57880.0,0.0,21120.0,26.73,1,Да
664569399,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663147234,81000.0,49551.0,0,11623.0,61174.0,0.0,19826.0,24.48,1,Да
666552214,69000.0,35580.0,0,8280.0,43860.0,0.0,25140.0,36.43,1,Да
664570098,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
653626009,120000.0,50661.0,0,14400.0,65061.0,0.0,54939.0,45.78,1,Да
664570209,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
653664755,120000.0,50661.0,0,14400.0,65061.0,0.0,54939.0,45.78,1,Да
666974703,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664570252,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
674330541,120000.0,50661.0,0,14400.0,65061.0,0.0,54939.0,45.78,1,Да
673589542,75000.0,47000.0,0,13031.0,60031.0,0.0,14969.0,19.96,1,Да
668005984,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
